;A_expect;A_stddevaway;Anew_expect;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;dA_boot;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;mol_name;new_param;obs_type;param_type;percent_shift;smirks
10;[ 1.53233952];[ 0.03768675];[ 1.5305521];[ 0.67701499];[ 12.83509877];[ 0.00907553];[ 12.85612311];[ 0.00844234];[2000];[ 0.00074016];[ 0.00071372];[ 0.00361423];[ 0.00272648];[ 0.06694509];[ 0.06894921];[ 0.06709214];[ 0.06909134];['molecules/AlkEthOH_c1266.mol2'];[[700]];Bond;['k'];-2.94117647059;[#6X4:1]-[#6X4:2]
11;[ 1.53120394];[ 0.0633471];[ 1.53293549];[ 0.50829793];[ 12.88466213];[ 0.13715686];[ 12.96021752];[ 0.13929108];[2000];[ 0.00068394];[ 0.00072534];[ 0.0032692];[ 0.0043873];[ 0.06874245];[ 0.0668921];[ 0.06930312];[ 0.06734504];['molecules/AlkEthOH_c1266.mol2'];[[750]];Bond;['k'];-10.2941176471;[#6X4:1]-[#6X4:2]
12;[ 1.53103693];[ 0.01831116];[ 1.5297244];[ 1.19173405];[ 12.94272551];[ 0.03159527];[ 13.07332228];[ 0.03215819];[2000];[ 0.00064654];[ 0.00073929];[ 0.00353895];[ 0.0025517];[ 0.070178];[ 0.06769967];[ 0.0711434];[ 0.06838618];['molecules/AlkEthOH_c1266.mol2'];[[800]];Bond;['k'];-17.6470588235;[#6X4:1]-[#6X4:2]
13;[ 1.53187955];[ 0.16681564];[ 1.53066748];[ 0.82947133];[ 12.68261644];[ 0.0092774];[ 12.86188985];[ 0.00535679];[2000];[ 0.00060934];[ 0.00072093];[ 0.00286588];[ 0.00222889];[ 0.07228412];[ 0.06551014];[ 0.07283432];[ 0.06650825];['molecules/AlkEthOH_c1266.mol2'];[[850]];Bond;['k'];-25.0;[#6X4:1]-[#6X4:2]
14;[ 1.53142662];[ 0.1343609];[ 1.53536488];[ 1.47948811];[ 12.78341747];[ 0.11916375];[ 13.01724588];[ 0.12022771];[2000];[ 0.00070767];[ 0.00071758];[ 0.00275855];[ 0.00214154];[ 0.06128626];[ 0.06718833];[ 0.06334081];[ 0.06876829];['molecules/AlkEthOH_c1266.mol2'];[[900]];Bond;['k'];-32.3529411765;[#6X4:1]-[#6X4:2]
15;[ 1.53165748];[ 0.06793901];[ 1.53404934];[ 0.71878623];[ 12.94154451];[ 0.07707975];[ 13.24744613];[ 0.0810211];[2000];[ 0.00076305];[ 0.00074889];[ 0.00232129];[ 0.00325859];[ 0.07108626];[ 0.06854649];[ 0.07301115];[ 0.07065083];['molecules/AlkEthOH_c1266.mol2'];[[950]];Bond;['k'];-39.7058823529;[#6X4:1]-[#6X4:2]
16;[ 1.53190748];[ 0.07274483];[ 1.53014143];[ 0.93020482];[ 12.8187052];[ 0.03579436];[ 13.16352868];[ 0.01543609];[2000];[ 0.00075337];[ 0.00073551];[ 0.00240399];[ 0.00316788];[ 0.06723156];[ 0.06626938];[ 0.06949675];[ 0.0685871];['molecules/AlkEthOH_c1266.mol2'];[[1000]];Bond;['k'];-47.0588235294;[#6X4:1]-[#6X4:2]
17;[ 1.53164992];[ 0.00981025];[ 1.53271672];[ 1.03851186];[ 12.94701579];[ 0.16001871];[ 13.34312008];[ 0.15628082];[2000];[ 0.00067552];[ 0.00071304];[ 0.00221025];[ 0.00263467];[ 0.06291875];[ 0.06799066];[ 0.06622953];[ 0.07042522];['molecules/AlkEthOH_c1266.mol2'];[[1050]];Bond;['k'];-54.4117647059;[#6X4:1]-[#6X4:2]
18;[ 1.53146929];[ 0.03560207];[ 1.53050795];[ 2.29821431];[ 12.80914931];[ 0.14417212];[ 13.25689946];[ 0.13461343];[2000];[ 0.00077696];[ 0.00072201];[ 0.00263663];[ 0.00214215];[ 0.0717659];[ 0.06912883];[ 0.07479856];[ 0.07179356];['molecules/AlkEthOH_c1266.mol2'];[[1100]];Bond;['k'];-61.7647058824;[#6X4:1]-[#6X4:2]
19;[ 1.53166038];[ 0.14865434];[ 1.52901479];[ 1.52762291];[ 12.87461813];[ 0.03068931];[ 13.39833302];[ 0.02640736];[2000];[ 0.00074837];[ 0.00074616];[ 0.00231691];[ 0.0018208];[ 0.07114734];[ 0.06760439];[ 0.0759524];[ 0.07123296];['molecules/AlkEthOH_c1266.mol2'];[[1150]];Bond;['k'];-69.1176470588;[#6X4:1]-[#6X4:2]
